ID,Name,AssetPath,MapPath,Size,AttackType,State,MoveType,ColorType,Color,Description,ModelDescription,BattleDescription
int,string,string,string,MONSTER_INFO_SIZE_DATA,Link,Link,MONSTER_MOVE_TYPE,CONFIG_COLOR_TYPE,string,string,string,string
140101,Firerat,Assets/Resources/Prefab/Monster/Firerat,Magmahill,0,140101,140101,0,1,#8B0000,불탄 기사의 말이 남긴 불씨 속에서 변이되어 태어난 화염쥐,"$실루엣은 쥐나 햄스터와 비슷함
$전체적으로 채도 낮은 짙은 회색 계열의 색상
$동공 없이 어둡게 빛나는 주황색 눈동자 
$등에 두껍게 들러붙은 잿더미
$꼬리 끝에 붉은 불꽃",$공격 발동 거리 내에 진입 시 전방 근접 타격을 가하는 기본 물리 공격 시도
140201,Bluelava,Assets/Resources/Prefab/Monster/Bluelava,Magmahill,0,140201,140201,0,1,#8B0000,화염단이 사용하던 무기와 금속 방어구가 마그마에 녹아 생겨난 생명체,"$푸른색 계열 색감
$슬라임 실루엣
$내부에 녹아내린 금속 파편이 떠다님",$플레이어 선 공격 시 전방 근접 타격을 가하는 기본 물리 공격 시도
140301,Redlava,Assets/Resources/Prefab/Monster/Redlava,Magmahill,1,140301,140301,0,1,#8B0000,화염단이 사용하던 무기와 금속 방어구가 마그마에 녹아 생겨난 생명체,"$오렌지색 붉은 계열 색감
$슬라임 실루엣
$내부에 녹아내린 금속 파편이 떠다님",$플레이어 선 공격 시 전방 근접 타격을 가하는 기본 물리 공격 시도
140401,Firelizard,Assets/Resources/Prefab/Monster/Firelizard,Magmahill,1,140401,140401,0,1,#8B0000,마그마 언덕 열기에 적응한 야생 도마뱀,"$피부는 채도가 낮은 어두운 갈색 계열
$노란 빛 흰자에 검은 눈동자
$등에 붉게 빛나는 열선 돌기가 있음
$분노 시 꼬리 끝에 불꽃이 튐",$공격 발동 거리 내에 진입 시 전방 근접 타격을 가하는 기본 물리 공격 시도
140501,Ashslime,Assets/Resources/Prefab/Monster/Ashslime,Magmahill,0,140501,140501,0,1,#8B0000,화염단의 깃발 조각이 점액에 스며들어 생성된 슬라임,"$잿빛 점액 덩어리 형태
$흰자와 검은색 눈동자
$두 눈 위치가 어긋나 있음
$오래된 붉은 깃발 천과 나무로 된 깃대가 몸에 꽂혀있음",$플레이어 선 공격 시 전방 근접 타격을 가하는 기본 물리 공격 시도
140601,Magumana,Assets/Resources/Prefab/Monster/Magumana,Magmahill,1,140601,140601,0,1,#8B0000,화염단이 색의 정령을 봉인하기 위해 이용했던 생체 감식체,"$바위처럼 딱딱한 돌기를 지녔음
$동공이 없는 주황색 눈동자이며 분노 시 붉게 발광함
$오브젝트에 따라 꼬리에 있는 불꽃색이 변함
$입 주변에 연기가 피어오름",$공격 발동 거리 내에 진입 시 돌진하며 꼬리로 후려치는 공격함
140701,Firewing,Assets/Resources/Prefab/Monster/Firewing,Magmahill,0,140701,140701,1,1,#8B0000,화염단의 전투 개시를 알렸던 불탄 기사의 반려새,"$피부는 채도가 낮은 검은색 계열
$동공이 없는 흰 눈동자에서 광선이 나옴
$깃털 끝에 붉은 불꽃 일렁임
$검붉은색 날개 펼칠 때 불꽃 잔상이 남음",$공격 발동 거리 내에 진입 시 불덩이를 낙하하며 공격
140801,Burntknight,Assets/Resources/Prefab/Monster/Burntknight,Magmahill,2,140801,140801,0,1,#8B0000,"붉은빛의 화염단의 마지막 생존자, 붉은색을 끝까지 소유하려다 저주받은 존재","$얼굴에 해골 마스크, 동공 없는 붉은 눈동자는 주변 오브젝트의 색상에 반응해 색이 변함
$은빛 광택이 희미하게 남아있는 녹슨 갑옷, 찢어진 카키색 망토를 두르고 있음
$그을린 녹슨 검을 들고 있으며 검을 휘두를 때마다 불꽃 효과
$해골화된 망령마를 타고 있음","$1 공격 : 시야 내 플레이 감지 시 말을 탄 채 이동하며 그을린 녹슨 검을 휘두르며 공격
$2 공격 : HP 일정 구간 진입 시 말과 분리되며 붉은 검을 지면에 꽂아 지형을 파괴하여 공격
$3 공격 : HP 일정 구간 진입 시 플레이어 근처로 순간 이동하며 플레이어가 가지고 있는 색 하
나를 흡수하여 공격"
140901,Blazewraith,Assets/Resources/Prefab/Monster/Blazewraith,Magmahill,0,140901,140901,1,1,#8B0000,색을 지키려다 붉은 저주에 삼켜진 영혼들의 찌꺼기,"$검붉은 실루엣
$동공이 없는 붉은 눈동자
$몸 전체에서 붉은 연기가 끈임없이 피어오름
$가슴 중앙에 짙은 먹색 하트 심장","$공격 1 : 동일 위치에서 플레이어가 누적 999회 사망 시 연기를 뿜어내며 플레이어를 감싸
일정 시간 이동 속도 저하 및 회피 불가 상태로 만듦
$공격 2 : 플레이어가 속박당할 시 플레이어 앞에 순간이동 후 연기 사슬을 던져 공격
$공격 3 : HP 일정 구간 진입 시 플레이어가 직전에 사용한 스킬 패턴을 재현하여 반격"
141001,Shardbug,Assets/Resources/Prefab/Monster/Shardbug,Rustgrove,0,141001,141001,0,1,#496947,잔해 속 틈 사이를 기어다니며 금속 파편을 흡수해 성장하는 벌레,"$날카로운 금속 조각들이 얽혀 있는 불규칙한 벌레형 몸체
$덩어리 형태지만 계속 조립 / 분해되는 느낌을 줌
$몸통 중앙에 눈 하나가 녹색 광원으로 깜빡거림
$이동 시 파편끼리 마찰하는 소리가 남",$공격 발동 거리 내에 진입 시 전방 근접 타격을 가하는 기본 물리 공격 시도
141101,Moss,Assets/Resources/Prefab/Monster/Moss,Rustgrove,0,141101,141101,0,1,#678856,고철 숲에 오래 방치된 구형 로봇이 이끼가 뒤덮이며 생명력을 얻은 로봇,"$작고 둥근 구형 로봇의 실루엣
$표면 전체를 푹신한 이끼가 감싸고 있어 촉감이 살아 있는 느낌
$눈은 둥글고 커다란 디스플레이형 LED로 표현
$다리 구조가 짧고 걸을 때 어설퍼 뒤뚱거리거나 비틀거림",$플레이어 선 공격 시 전방 근접 타격을 가하는 기본 물리 공격 시도
141201,Paint,Assets/Resources/Prefab/Monster/Paint,Rustgrove,0,141201,141201,0,1,#B45732,고철 숲의 폐기된 페인트 통에서 태어난 슬라임,"$알록달록 물감이 섞인 젤리 형태
$머리 위에 녹슨 페인트통을 모자처럼 쓰고 있음
$표정은 무해하고 큰 검은 눈에 미소를 머금고 있음",$플레이어 선 공격 시 몸 안에 있는 물감을 발사해 공격 및 플레이어의 시야를 가림
141301,Rustdrone,Assets/Resources/Prefab/Monster/Rustdrone,Rustgrove,0,141301,141301,1,1,#B45732,오래 전 연구원이 부여한 임무를 반복하며 주변 색을 감지하는 기능만 남은 채 방치된 드론,"$둥근 금속 외형에 녹이 군데군데 번진 드론
$붉은 눈 형태의 감지 렌즈가 있음
$상단 옆에 귀처럼 보이는 부품이 부착되어 있음",$시야 내 플레이어 감지 시 직선형 레이저를 발사해 전방 일직선에 피해를 줌
141401,Venus,Assets/Resources/Prefab/Monster/Venus,Rustgrove,2,141401,141401,2,1,#8B6035,고철 위에서 자란 금속 식물로 오래된 잔해들을 흡수하며 성장한 파리지옥 형태의 변이된 식물,"$꽃잎은 총 7장으로 이루어져 있음
$꽃잎은 빨강, 노랑, 파랑, 보라, 주황, 초록으로 각기 다른 색상으로 구성되어 있음
$꽃 중심 부분은 입처럼 열려 있고 내부에는 육식동물처럼 날카로운 이빨이 있음
$양쪽 잎은 넓고 아래로 쳐져 있음","$공격 발동 거리 내에 진입 시 큰 입으로 물어뜯어 공격
$플레이어 이동 시 뿌리를 뻗어 플레이어 발 밑에 덫을 생성해 이동 제한 공격"
141501,Scrapteddy,Assets/Resources/Prefab/Monster/Scrapteddy,Rustgrove,1,141501,141501,0,1,#8B6035,연구소에서 감정 실험 목적으로 만들었다 실패하여 버려진 폐기된 인형,"$몸체는 천과 로봇 뼈대로 구성되며 때가 묻고 해진 느낌의 질감 강조
$눈은 공허하게 텅 빈 검은색 구멍으로 표현하며 반대쪽 눈은 붉은 렌즈가 박혀 있음
$입 대신 실밥 표시가 있으며 말을 하지 못하는 느낌을 줌",$공격 발동 거리 내에 진입 시 전방 근접 타격을 가하는 기본 물리 공격 시도
141601,Loop,Assets/Resources/Prefab/Monster/Loop,Rustgrove,1,141601,141601,0,1,#678856,연구원의 잘못된 코딩으로 동일한 명령어를 반복 실행하는 전투 병기형 로봇,"$반구형의 금속 몸체로 표면은 부식과 녹이 슬어 있음
$몸체 전면에는 원형의 코어가 박혀 있으며 코어 안에는 회로 기판처럼 생긴 붉은 칩이 있음
$6개의 다관절 다리가 방사형으로 연결되어 있음",$공격 발동 거리 내에 진입 시 몸을 웅크렸다가 점프하여 다리를 벌린 채 낙하하며 넉백 공격
141701,code,Assets/Resources/Prefab/Monster/code ,Rustgrove,1,141701,141701,0,1,#678856,"초록색을 집착적으로 수집하던 연구원이 실험 중 시스템과 융합되어 인간성과
기계성 모두 상실한 존재, 현재 고철 숲을 지배하는 인공지능 로봇","$머리는 초록빛이 흐르는 유리 돔 구조
$유리 돔 내부에 이모티콘 형태의 표정이 떠다니며 감정을 표시함
$작은 컴퓨터 본체를 연상 시키는 사각형 금속 구조, 전면에 모니터형 디스플레이가 있음
$다리는 금속 골격이 비틀린 상태로 절뚝이며 비정상적으로 걸음","$1 공격 : 시야 내 플레이어 감지 시 긴 로봇팔을 뻗어 플레이어를 끌어당긴 후 공격
$2 공격 : HP 일정 구간 진입 시 몸을 회전시켜 고속 돌진 공격
$3 공격 : HP 일정 구간 진입 시 바닥에 감전 구역이 랜덤하게 생성하며 공격"
141801,Shardbug,Assets/Resources/Prefab/Monster/Shardbug,Hiddenlab,0,141801,141801,0,1,#191970,잔해 속 틈 사이를 기어다니며 금속 파편을 흡수해 성장하는 벌레,"$날카로운 금속 조각들이 얽혀 있는 불규칙한 벌레형 몸체
$덩어리 형태지만 계속 조립 / 분해되는 느낌을 줌
$몸통 중앙에 눈 하나가 푸른 광원으로 깜빡거림
$이동 시 파편끼리 마찰하는 소리가 남",$공격 발동 거리 내에 진입 시 전방 근접 타격을 가하는 기본 물리 공격 시도
141901,Rustdrone,Assets/Resources/Prefab/Monster/Rustdrone,Hiddenlab,0,141901,141901,1,1,#191970,오래 전 연구원이 부여한 임무를 반복하며 주변 색을 감지하는 기능만 남은 채 방치된 드론,"$둥근 금속 외형에 녹이 군데군데 번진 드론
$녹색 눈 형태의 감지 렌즈가 있음
$상단 옆에 귀처럼 보이는 부품이 부착되어 있음",$시야 내 플레이어 감지 시 직선형 레이저를 발사해 전방 일직선에 피해를 줌
142001,Metaball,Assets/Resources/Prefab/Monster/Metaball,Hiddenlab,0,142001,142001,0,1,#191970,색상 실험 도중 누출된 색상 데이터가 환경의 영향과 자극을 받아 자의식을 가진 생명체,"$말랑한 스트레스볼처럼 둥글고 부드러운 구형 실루엣
$움직일 때마다 번들거리는 느낌
$보라, 분홍, 파랑 계열의 그라데이션 색상
$단순하고 순한 눈 2개가 박혀있음
$주변 오브젝트나 배경 색을 실시간으로 반영하여 표면 색상이 수시로 변함",$플레이어 선 공격 시 전방 근접 타격을 가하는 기본 물리 공격 시도
142101,Nano,Assets/Resources/Prefab/Monster/Nano,Hiddenlab,0,142101,142101,1,1,#191970,실험 실패로 생성되어 실험실 내부에 떠다니는 폐기물 집합체,"$큰 원형 본체에 작은 부속 구체가 붙은 형태
$표면은 반짝이는 젤리 같은 질감
$눈처럼 보이는 두 개의 타원형 광학 감지 센서",$플레이어 선 공격 시 전방 근접 타격을 가하는 기본 물리 공격 시도
142201,Scrapteddy,Assets/Resources/Prefab/Monster/Scrapteddy,Hiddenlab,1,142201,142201,0,1,#191970,연구소에서 감정 실험 목적으로 만들었다 실패하여 버려진 폐기된 인형,"$몸체는 천과 로봇 뼈대로 구성되며 때가 묻고 해진 느낌의 질감 강조
$눈은 공허하게 텅 빈 검은색 구멍으로 표현하며 반대쪽 눈은 붉은 렌즈가 박혀 있음
$입 대신 실밥 표시가 있으며 말을 하지 못하는 느낌을 줌",$공격 발동 거리 내에 진입 시 전방 근접 타격을 가하는 기본 물리 공격 시도
142301,Loop,Assets/Resources/Prefab/Monster/Loop,Hiddenlab,1,142301,142301,0,1,#191970,연구원의 잘못된 코딩으로 동일한 명령어를 반복 실행하는 전투 병기형 로봇,"$반구형의 금속 몸체로 표면은 부식과 녹이 슬어 있음
$몸체 전면에는 원형의 코어가 박혀 있으며 코어 안에는 회로 기판처럼 생긴 붉은 칩이 있음
$6개의 다관절 다리가 방사형으로 연결되어 있음","$공격 발동 거리 내에 진입 시 짧게 웅크린 후 점프하여 공중에서 다리를 활짝 벌린 뒤
낙하하여 넉백 공격"
142401,Error-53,Assets/Resources/Prefab/Monster/Error-53,Hiddenlab,1,142401,142401,0,1,#191970,색 장비 내에서 파손된 색 데이터를 품고 자의식을 얻은 실험 실패체,"$금속 파이프가 얽힌 불안정한 실린더형
$질감은 녹슬고 부식되어 있으며 실린더 재질
$유리 내부엔 푸른빛과 보라빛이 교차하는 에너지가 끈임없이 교차함",$공격 발동 거리 내에 진입 시 전기 파장을 발생하여 공격
142501,Reverse,Assets/Resources/Prefab/Monster/Reverse,Hiddenlab,3,142501,142501,0,1,#191970,"잃어버린 색을 찾기 위해 색 복원 실험의 핵심 장치 연구하였으나 시스템 오류로 인해
그 흔적만 남아 색에 대한 집착만 남아 연구소를 떠도는 존재","$몸체는 짙은 회색 금속이 덮여 있고 표면마다 금이 가 있거나 일부가 깨진 상태
$중심부에는 청록색 코어가 있음
$외부엔 비정상적으로 꼬여 있는 다수의 유선형 케이블이 있음
$하체는 촉수처럼 생긴 케이블로 지탱됨","$1 공격 : 시야 내 플레이어 감지 시 촉수가 길어지면서 플레이어 넉백 공격
$2 공격 : HP 일정 구간 진입 시 중심부 코어가 열리면서 미니언을 소환하여 공격
$3 공격 : HP 일정 구간 진입 시 일정 시간마다 플레이어 색 하나를 무력화 함"
142601,Echo,Assets/Resources/Prefab/Monster/Echo,Hiddenlab,1,142601,142601,1,1,#191970,색 실험 이전 연구원이 백업해 두었던 본래 자아의 데이터 조각,"$희미하게 빛나는 유령 형상
$피부 텍스처로 속에 회로망처럼 얽힌 선이 유기적으로 흐름
$표정은 없고 눈 부분은 크고 깊게 뚫린 듯한 블랙홀 형태","$등장 시 에코는 플레이어에게 2개 제시함
$1. 강화 효과 부여 (영구적 능력 상승)
$2. 진실의 일부 전달 (빛의 삼원색의 포인트를 부여"
142701,Restleech,Assets/Resources/Prefab/Monster/Restleech,Ambercanyon,0,142701,142701,0,1,#BF6E00,타인의 기억과 감정을 흡수하며 생존하려는 기생 형태로 변질된 존재,"$지면을 기어다니는 형태의 촉수형 생물
$기본 색상은 주황색 계열
$젤리 형태의 질감
$광택 표현이 강하며 상단부에 둥글고 뚜렷한 하이라이트 반사광이 있음
$다리는 촉수로 되어 있으며 총 6개로 구성
$기어다니듯 낮은 위치를 유지하여 바닥을 흡착해 움직임",$공격 발동 거리 내에 진입 시 전방 근접 타격을 가하는 기본 물리 공격 시도
142801,Fadedglowworm,Assets/Resources/Prefab/Monster/Fadedglowworm,Ambercanyon,0,142801,142801,0,1,#BF6E00,기억하고 싶은 감정들을 먹고 자란 벌레 형태로 응축된 존재,"$전체적으로 짧고 둥글며 구불거리는 애벌레형 실루엣
$주황색 계열의 색상
$피부는 매끈하지만 내부에 은은하게 빛나는 형광 알갱이가 있음
$머리 앞 쪽에 더듬이가 있음
$눈은 타원형이며 검은색 눈동자를 가지고 있음",$플레이어 선 공격 시 전방 근접 타격을 가하는 기본 물리 공격 시도
142901,ForgottenrockStealer,Assets/Resources/Prefab/Monster/ForgottenrockStealer,Ambercanyon,1,142901,142901,0,1,#BF6E00,오래된 감정들이 굳어 외피처럼 딱딱한 게 형태로 변한 존재,"$전체적인 실루엣은 둥글게 말린 게
$기본 색상은 연한 주황색 계열
$바닥에 낮게 붙어 있어 암석 무더기처럼 보임
$다리와 머리는 대부분 껍질 안으로 들어가 있음
$등껍질은 돌 파편과 보라계열의 수정이 붙어 있으며 매우 거침
$눈은 매우 작고 앞쪽 바위 틈 사이에 배치되어 있음
$다리는 총 6개로 구성",$플레이어 선 공격 시 전방 근접 타격을 가하는 기본 물리 공격 시도
143001,Canyonrat,Assets/Resources/Prefab/Monster/Canyonrat,Ambercanyon,0,143001,143001,0,1,#BF6E00,호박 협곡에서 기억과 감정 에너지를 먹고 살아가는 설치류,"$실루엣은 쥐나 햄스터와 비슷함
$전체적으로 채도 낮은 짙은 갈색 계열의 색상
$동공 없이 어둡게 빛나는 주황색 눈동자
$등에 두껍게 들러붙은 흙먼지
$꼬리 끝에 호박 보석",$공격 발동 거리 내에 진입 시 전방 근접 타격을 가하는 기본 물리 공격 시도
143101,Sil,Assets/Resources/Prefab/Monster/Sil ,Ambercanyon,2,143101,143101,0,1,#BF6E00,오래된 감정을 먹고 짜인 실을 만들어 적을 묶고 공격하는 거미,"$실루엣은 거미 형태
$전체적으로 어두운 먹색, 회색 계열의 색상
$작고 둥근 흰 동공 눈이 2개 박혀 있음
$몸체는 두 구간으로 나뉨, 복부는 크고 반짝이는 결정질로 부풀어있음
$다리는 8개로 길고 각진 구조
$앞 쪽 두 발은 날카롭게 마감되어 있음
$실은 입에서 내 뿜음, 실은 어두운 먹색 계열의 색상",$공격 발동 거리 내에 진입 시 플레이어에게 실을 던져 공격
143201,Amberscorpion ,Assets/Resources/Prefab/Monster/Amberscorpion ,Ambercanyon,1,143201,143201,0,1,#BF6E00,호박 협곡의 깊은 결정층에서 살아온 전갈,"$호박빛 결정 껍질로 덮여 있음
$규칙적이고 단단한 결정질 질감
$작은 붉은 눈 두 개
$꼬리는 부드럽고 구부러지며 끝에 선명한 붉은 결정구가 박혀있음
$앞발은 무겁고 짧음",$공격 발동 거리 내에 진입 시 꼬리로 찌르기 공격
143301,Stonebird ,Assets/Resources/Prefab/Monster/Stonebird ,Ambercanyon,0,143301,143301,1,1,#BF6E00,호박 협곡의 벽 틈에서 조용히 감정을 흡수하며 감정의 흔적을 등에 짊어진 채 살아온 새,"$전체 색감은 갈색, 주황계열
$새 형상을 기반으로 하나 일반 조류보다 둥글고 묵직한 실루엣
$비대칭 결정패턴이 박힌 광물 날개, 바위판처럼 조각조각 나뉘어 보임
$눈은 완전 무채색 회색 계열
$부리는 길고 뾰족함
$다리는 짧고 단단하며 끝은 광물 발톱 형태",$공격 발동 거리 내에 진입 시 순간적으로 빠르게 내려찍듯 돌진하여 공격
143401,Harvegolem,Assets/Resources/Prefab/Monster/Harvegolem,Ambercanyon,2,143401,143401,0,1,#BF6E00,"호박 협곡 깊은 곳에서 색을 봉인해온 수호 구조물, 감정을 수확하는 수호자","$바위와 호박 결정이 결합된 덩치 큰 골렘형 실루엣, 전체적으로 광택이 도는 바위표면
$색은 채도 낮은 짙은 오렌지, 황갈색 계열의 색상
$중심에 둥글고 선명한 주황색, 붉은색 코어가 있음
$왼쪽 어깨에 바주카포를 매고 있음","$1 공격 : 공격 발동 거리 내에 진입 시 플레이어에게 다가가 땅을 주먹으로 내려쳐 공격
$2 공격 : HP 일정 구간 진입 시 바주카포를 꺼내 주변 사방으로 색상 감정 탄환 발사
$3 공격 : HP 일정 구간 진입 시 플레이어가 가장 많이 소유하고 있는 색상을 봉인하여
그 색을 자신의 무기로 전환하여 공격"
